candidate_id,label,A_aromaticity,A_delta_wt_vs_mut,A_hybrid_complexity,A_hydrophobicity_kd,A_mutation_surprisal,A_net_charge,A_tcr_contact_potential,B_erap_nterm_proxy,B_proteasome_cterm,B_sanity_check,B_tap_transport_score,C_anchoring_P2,C_binding_quality,C_hla_anchor_p9,C_hla_delta_binding,C_total_binding,D1_exact_self_similarity,D_mutation_in_window,D_wt_presented,ic50_nm,rf_score,gb_score
DECOY_005,DECOY,0.2222222222222222,3.944843913995684,0.9393864577114218,-1.9125,0.391320550570051,-0.0493827160493827,0.4499999999999999,0.0,1.0,1.0,0.48,0.5,0.5753647586980919,2.0,0.0999999999999998,4.2,0.0,0.5,0.0,,0.925,0.9999838693744162
DECOY_062,DECOY,0.2222222222222222,4.20771420031648,0.8651870643197208,0.5124999999999993,0.0229172539583224,-0.0123456790123456,0.425,0.0,1.0,1.0,0.48,2.0,0.7888327721661055,2.0,3.2,8.8,0.0,1.0,0.0,,0.91,0.9999838693744162
DECOY_009,DECOY,0.1111111111111111,2.70885622286734,0.721178777645464,-1.0499999999999998,-0.0662932513078347,0.0,0.4,-0.8,1.0,1.0,0.48,0.5,0.6861391694725029,2.0,0.5,5.2,0.0,1.0,0.0,,0.93,0.9999838693744162
REAL_010,REAL,0.0,0.6815844425756401,0.9302422853409238,5.4,-0.6520766965796931,0.0,0.325,0.7,1.0,1.0,0.48,2.0,0.6737934904601572,2.0,3.5000000000000004,7.6,0.0,0.2,0.0,5.0,0.877,0.9999838693744162
DECOY_065,DECOY,0.2222222222222222,1.9981318769779628,0.8549094853785433,-1.8375,-0.026338250036557,-0.0123456790123456,0.45,-1.0,1.0,1.0,0.48,0.5,0.6942480359147026,2.0,-0.2999999999999998,5.2,0.0,1.0,0.0,,0.98,0.9999838693744162
DECOY_007,DECOY,0.3333333333333333,1.6353971910916665,0.6433164898120135,2.325,0.354975813612665,-0.0123456790123456,0.525,-0.5,1.0,1.0,0.6,2.0,0.8114478114478114,1.5,0.0,8.1,0.0,1.0,0.0,,0.9259999999999999,0.9999838693744162
REAL_050,REAL,0.3333333333333333,0.7201140940911593,0.9460600321344258,0.0,1.1655860657179755,0.0,0.4,-0.5,0.4,1.0,0.12,-0.2,0.6339618406285072,-0.3,0.3,-0.7,0.0,0.5,0.0,39.0,0.66,0.9999838693744162
DECOY_050,DECOY,0.3333333333333333,3.990232819901352,0.9460600321344258,0.0,0.2331172131435951,0.0,0.425,-0.5,0.4,1.0,0.12,-0.2,0.6265544332210999,-0.3,-2.775557561562892e-17,-0.7,0.0,0.5,0.0,,0.71,0.9999838693744162
REAL_066,REAL,0.0,0.6815844425756401,0.8733898758504762,-2.0250000000000004,-0.6520766965796931,0.0,0.475,0.0,1.0,1.0,0.6,2.0,0.7118406285072952,1.5,0.6000000000000001,7.4,0.0,1.0,0.0,5.0,0.98,0.9999838693744162
DECOY_045,DECOY,0.1111111111111111,3.969837456646652,0.7191611565537666,-4.987500000000001,0.1942643442863293,0.0,0.55,-0.8,1.0,1.0,0.6,2.0,0.7876543209876544,1.5,0.7000000000000002,8.000000000000002,0.0,1.0,0.0,,0.95,0.9999838693744162
REAL_021,REAL,0.0,0.6815844425756401,0.8733898758504762,-2.0250000000000004,-0.6520766965796931,-0.0123456790123456,0.35,-1.0,1.0,1.0,0.48,2.0,0.6922558922558922,2.0,0.6000000000000001,7.699999999999999,0.0,1.0,0.0,48.0,0.845,0.9999838693744162
REAL_037,REAL,0.0,0.1639185361330838,0.8598417247756182,-0.2999999999999999,-0.3977595078470086,-0.0123456790123456,0.275,0.0,1.0,1.0,0.6,2.0,0.6710157126823794,1.5,0.2999999999999998,6.9,0.0,1.0,0.0,36.0,0.835,0.9999838693744162
DECOY_041,DECOY,0.2222222222222222,2.761997650787833,0.5277859536253678,0.0,0.2913965164294939,0.0,0.4,-0.5,0.4,1.0,0.12,-0.2,0.5671268237934904,-0.3,0.3,-1.1,0.0,0.5,0.0,,0.59,0.9999838693744162
DECOY_067,DECOY,0.1111111111111111,1.9526434379277933,0.6752659365182577,1.3124999999999998,-0.0568227868352869,0.0,0.175,-0.8,1.0,1.0,0.6,2.0,0.6855218855218855,1.5,0.4000000000000003,6.9,0.0,0.5,0.0,,0.8420000000000001,0.9999838693744162
DECOY_025,DECOY,0.2222222222222222,1.9128830896067976,0.8073890152790131,-0.8624999999999999,0.1325930025444858,0.0,0.175,-0.5,1.0,1.0,0.6,2.0,0.6886083052749721,1.5,0.5,7.1,0.0,1.0,0.0,,0.8320000000000001,0.9999838693744162
DECOY_029,DECOY,0.3333333333333333,2.9768576798613777,0.8738632064421114,-0.7124999999999998,0.1942643442863293,-0.0123456790123456,0.55,0.0,1.0,1.0,0.48,-0.8,0.7858866442199776,2.0,0.1,3.8,0.0,1.0,0.0,,0.85,0.9999838693744162
REAL_009,REAL,0.1111111111111111,0.1639185361330838,0.721178777645464,0.0,-0.3977595078470086,0.0,0.2,-0.8,1.0,1.0,0.48,0.5,0.6860830527497195,2.0,0.3999999999999999,5.1,0.0,1.0,0.0,5.0,0.6530000000000001,0.9999838693744162
REAL_062,REAL,0.2222222222222222,0.7005110458421212,0.8651870643197208,4.6,0.1375035237499347,-0.0123456790123456,0.525,0.0,1.0,1.0,0.48,2.0,0.7947811447811447,2.0,3.0,8.9,0.0,0.2,0.0,9.0,0.93,0.9999838693744162
REAL_001,REAL,0.2222222222222222,0.7201140940911593,0.9480110667299834,0.0,1.1655860657179755,-0.0123456790123456,0.2249999999999999,-0.5,1.0,1.0,0.6,2.0,0.6714927048260383,1.5,0.2999999999999998,6.9,0.0,1.0,0.0,21.0,0.875,0.9999838693744162
REAL_020,REAL,0.1111111111111111,0.1639185361330838,0.8970153050346582,-0.3,-0.3977595078470086,-0.0123456790123456,0.375,0.0,1.0,1.0,0.6,1.5,0.7200617283950619,1.5,0.4000000000000003,6.6,0.0,1.0,0.0,28.0,0.915,0.9999838693744162
DECOY_038,DECOY,0.1111111111111111,3.27365168107526,0.5223523157626311,-1.9125,-0.1304153393159386,0.0,0.525,-0.5,1.0,1.0,0.6,2.0,0.8288439955106622,1.5,0.5999999999999996,8.2,0.0,1.0,0.0,,0.9,0.40503262452443717
